Noise_Type,Avg_Optimal_Factor
gaussian,0.05007
salt_and_pepper,0.00111
speckle,0.1372
uniform,0.07133
exponential,0.02916
rayleigh,0.02914
erlang,0.14983
brownian,0.07959
quantization,0.0
stripe,0.05076
multiplicative,0.13742
