Noise_Type,Avg_Optimal_Factor,
gaussian,0.04959,
salt_and_pepper,0.00106,
speckle,0.13583,
uniform,0.07065,
exponential,0.02891,
rayleigh,0.02885,
erlang,0.14761,
brownian,0.07867,
quantization,0.0,
stripe,0.05016,
multiplicative,0.13581,
