Noise_Type,Resolution,NL,NF1,NF2,PSNR
gaussian,128,0.05,0.04927940504050399,NA,27.954146224811392
speckle,128,0.05,0.14332238163816372,NA,27.954146224811392
uniform,128,0.05,0.06857232403240308,NA,27.954146224811392
exponential,128,0.05,0.027951019801980177,NA,27.954146224811392
rayleigh,128,0.05,0.02804923132313222,NA,27.954146224811392
erlang,128,0.05,0.016189315031503185,NA,27.954146224811392
brownian,128,0.05,0.058550153015301476,NA,27.954146224811392
stripe,128,0.05,0.0448921575157515,NA,27.954146224811392
multiplicative,128,0.05,0.14336274527452747,NA,27.954146224811392
gaussian,128,0.09,0.08803099369937009,NA,22.899656329777805
speckle,128,0.09,0.257942919891989,NA,22.899656329777805
uniform,128,0.09,0.12259435553555306,NA,22.899656329777805
exponential,128,0.09,0.04991353375337544,NA,22.899656329777805
rayleigh,128,0.09,0.050131237623762315,NA,22.899656329777805
erlang,128,0.09,0.028962408640864076,NA,22.899656329777805
brownian,128,0.09,0.10205475967596746,NA,22.899656329777805
stripe,128,0.09,0.07883827542754282,NA,22.899656329777805
multiplicative,128,0.09,0.25793023132313264,NA,22.899656329777805
gaussian,128,0.15,0.1466766597659767,NA,18.45833744168134
speckle,128,0.15,0.4413620774077408,NA,18.45833744168134
uniform,128,0.15,0.20439136453645387,NA,18.45833744168134
exponential,128,0.15,0.08334561476147613,NA,18.45833744168134
rayleigh,128,0.15,0.08355302790279054,NA,18.45833744168134
erlang,128,0.15,0.04825033213321321,NA,18.45833744168134
brownian,128,0.15,0.16687066696669642,NA,18.45833744168134
stripe,128,0.15,0.1293694518451847,NA,18.45833744168134
multiplicative,128,0.15,0.4413063276327633,NA,18.45833744168134
gaussian,128,0.2,0.19589741674167455,NA,15.978618426256517
speckle,128,0.2,0.6433379171917197,NA,15.978618426256517
