Noise_Type,Avg_Optimal_Factor
gaussian,0.09002
salt_and_pepper,0.00627
speckle,0.24798
uniform,0.1283
exponential,0.05249
rayleigh,0.05239
erlang,0.39692
brownian,0.14105
quantization,0.0
stripe,0.09122
multiplicative,0.24819
