Noise_Type,Avg_Optimal_Factor
gaussian,0.15016
salt_and_pepper,0.01979
speckle,0.42091
uniform,0.21403
exponential,0.08779
rayleigh,0.08738
erlang,0.84068
brownian,0.23778
quantization,0.0
stripe,0.15276
multiplicative,0.42085
